id,tweet,label,domain,sentiment,emotion,Severity,Explain
422,@RelianceDigital I have been waiting for a week now. @WhirlpoolCare doesn't seems to care about Indian customers.,1,other,Negative,anger,3,I have been waiting for a week now. @WhirlpoolCare doesn't seems to care about Indian customers.
423,"@WhirlpoolCare @whirlpool_india AMC Policy is worst,everything is chargeable under their policy.Want better sevice. Plz Contact - 8587981023",1,other,negative,anger,4,"Policy is worst,everything is chargeable under their policy.Want better sevice."
424,"@WhirlpoolCare thanks for your response. what is the twitter handle for your care centre in delhi, india ?",0,other,Positive,other,0,thanks for your response. 
425,Dear @WhirlpoolCorp Naming multiple models of front loading wagers DUET makes it IMPOSSIBLE to find the RIGHT manual &amp; help online.,1,other,negative,anger,4,Naming multiple models of front loading wagers DUET makes it IMPOSSIBLE to find the RIGHT manual &amp; help online.
426,I went to @BNBuzz and was mistreated #lostbuisness,1,retail,Neutral,anger,3,I went to @BNBuzz and was mistreated #lostbuisness
427,@SquareUK Hi can i take a payment over the phone?,0,software,Neutral,other,0,Hi can i take a payment over the phone?
428,"@Square @jack congratulations on launching square in the UK, would like to discuss options on moving our merchant accounts to you.",0,software,Positive,other,0,"congratulations on launching square in the UK, would like to discuss options on moving our merchant accounts to you."
429,"Every year dealing with @turbotax freezing, failing, and pain. Now won't let me print my state filing, only Efile for $25.",1,software,Negative,anger,3,"Every year dealing with @turbotax freezing, failing, and pain. Now won't let me print my state filing, only Efile for $25."
430,@SquareUK YESSS! Finally in the UK! Do you guys have the square cash app for the UK too?!?,0,software,Neutral,joy,0,YESSS! Finally in the UK! Do you guys have the square cash app for the UK too?
431,"@turbotax @TeamTurboTax I need help finding some information on our returns, but your automated phone system won't let me in.",1,software,neutral,sadness,1,"I need help finding some information on our returns, but your automated phone system won't let me in."
432,@turbotax what in the world. Major error in refund calculation in state taxes. 90% difference! Is there a contact for an error like this?,1,software,Negative,anger,2,Major error in refund calculation in state taxes. 90% difference! Is there a contact for an error like this?
433,"@TeamTurboTax how do you get a human on the phone, for a billing issues not tax help? #poorcustomerservice #fustrated #nothappy",1,software,Negative,anger,4,"how do you get a human on the phone, for a billing issues not tax help? #poorcustomerservice #fustrated #nothappy"
434,@turbotax I'm done with you guys...The up sells throughout the process is out of control. Why are there 4 editions?,1,software,Neutral,anger,3,The up sells throughout the process is out of control. Why are there 4 editions?
435,@TeamTurboTax my corporate accountant is filing extension for me and the company. Can I file using turbo tax after?,0,software,Neutral,other,0,my corporate accountant is filing extension for me and the company. Can I file using turbo tax after?
436,"@intuit @turbotax Whats up with this crazy website. couldn't figure it out so I went to another service, what a mess you have there!!!!",1,software,Negative,anger,4,"Whats up with this crazy website. couldn't figure it out so I went to another service, what a mess you have there!"
437,@TeamTurboTax i paid my fed taxes via turbo tax when filing my extension but don't see the withdrawal pending in my bank acct. please help?,1,software,neutral,sadness,1,i paid my fed taxes via turbo tax when filing my extension but don't see the withdrawal pending in my bank acct. please help?
438,@TeamTurboTax my messages to you are getting flagged and not being delivered. What's up?,1,software,Neutral,sadness,1,my messages to you are getting flagged and not being delivered. What's up?
439,@TeamTurboTax At least that's what I got when I called.,0,software,Neutral,anger,0,At least that's what I got when I called.
440,@SquareUK do you have a pricing structure for non-profits?,0,software,Neutral,other,0,do you have a pricing structure for non-profits?
441,@johnjnorris @SquareUK Classic,0,software,Neutral,joy,0,Classic
442,@SquareUK do you have an official approach to gift vouchers for use with your pos solution? Do you sell gift vouchers for use with your sys?,0,software,Positive,other,0,do you have an official approach to gift vouchers for use with your pos solution? Do you sell gift vouchers for use with your sys?
443,"@SquareUK Thanks. This sounds like a gift for criminals, just walk around Oxford St with one in your pocket and swipe people going by.....",0,software,Positive,other,0,"This sounds like a gift for criminals, just walk around Oxford St with one in your pocket and swipe people going by."
444,@NBASTORE how you just out of Isiah Thomas jerseys right now @Isaiah_Thomas,1,apparel,Neutral,sadness,3,how you just out of Isiah Thomas jerseys right now
445,"@NBASTORESupport hi will you guys have restock on this product Product ID: #959774, thx",1,apparel,Positive,other,1,hi will you guys have restock on this product
446,@LenovoSupport lenovo k3 note display flicker and dynamic pixel issue. no support from lenovoindia,1,electronics,negative,anger,1,lenovo k3 note display flicker and dynamic pixel issue. no support from lenovoindia
447,@NBASTORESupport I accidentally ordered a jersey and shipped to the wrong address. Can I change it please?,0,apparel,Negative,sadness,0,I accidentally ordered a jersey and shipped to the wrong address. Can I change it please?
448,@NBASTORESupport I'd like to cancel my order but it's not letting me contact your call centre. Can you please help me??,1,apparel,neutral,sadness,1,I'd like to cancel my order but it's not letting me contact your call centre. Can you please help me?
449,@NBASTORE Can I bring my own item to be signed?,0,apparel,Neutral,other,0,Can I bring my own item to be signed?
450,@NBASTORESupport Thanks for clearing that up and Thanks to @cravetheauto for letting me know about this event.,0,apparel,Positive,joy,0,Thanks for clearing that up and Thanks to @cravetheauto for letting me know about this event.
451,Yo. When are we gonna see the new Nike NBA jerseys? @nikestore @nikebasketball @NBA @NBASTORE @utahjazz,0,apparel,Neutral,other,0,Yo. When are we gonna see the new Nike NBA jerseys?
452,Smh still working on my #email account what the freak happened definitely don't know shit is old from 01 help me #aol,1,services,Positive,anger,2,Smh still working on my #email account what the freak happened definitely don't know shit is old from 01 help me #aol
453,@NBASTORE @FedExHelp @USPS all let me down today!,1,apparel,Neutral,anger,2,all let me down today!
454,Sunset over the river on Michigan. #chicagogram #chicagoriver #photography @ The Magnificent Mile https://t.co/2o8Yi81bup,0,apparel,Positive,other,0,Sunset over the river on Michigan.
455,It's Mom's Day! Wishing you a happy one from the Magnificent Mile. https://t.co/LE5G98Ik5r,0,apparel,Positive,joy,0,It's Mom's Day! Wishing you a happy one from the Magnificent Mile.
456,@neimanmarcus Thank you,0,apparel,Positive,joy,0,Thank you
457,@NBASTORESupport Thanks!,0,apparel,Positive,joy,0,Thanks!
458,@neimanmarcus What's not to love?,0,apparel,Negative,joy,0,What's not to love?
459,Monday beach vibes with my #piaminaudiere available @neimanmarcus online or https://t.co/3IDbUHDBSn https://t.co/wC7g93DAJz,0,apparel,Neutral,other,0,Monday beach vibes with my #piaminaudiere available @neimanmarcus online
460,Hi @SquareUK is there bluetooth facility for printed receipts?,0,software,Neutral,other,0,is there bluetooth facility for printed receipts?
461,"Thanks @NBASTORE for canceling my order because ""people don't normally buy shoes"". I'm out the money/shoes and was not helped w/online chat",1,apparel,Positive,other,4,I'm out the money/shoes and was not helped w/online chat
462,@AOLSupportHelp 2 weeks and still no reply to  a LETTER to UK office about being charged for something I cancelled. Typical of AOL?,1,services,Negative,anger,3,2 weeks and still no reply to a LETTER to UK office about being charged for something I cancelled. Typical of AOL?
463,I just gave 5 stars to Nancy at @neimanmarcus for the great service I received!,0,apparel,Positive,joy,0,I just gave 5 stars to Nancy at @neimanmarcus for the great service I received!
464,I just gave 5 stars to Tracee at @neimanmarcus for the great service I received!,0,apparel,Positive,joy,0,I just gave 5 stars to Nancy at @neimanmarcus for the great service I received!
465,I just gave 5 stars to Celestine at @neimanmarcus for the great service I received!,0,apparel,Positive,joy,0,I just gave 5 stars to Nancy at @neimanmarcus for the great service I received!
466,@neimanmarcus It was an online order problem that she totally helped me with...,0,apparel,Negative,joy,0,It was an online order problem that she totally helped me with
467,So many new #PF17 arrivals on @neimanmarcus!! Check it out!! https://t.co/0O7W2cB3WM https://t.co/uZQJz4L1DK,0,apparel,Neutral,joy,0,So many new #PF17 arrivals on @neimanmarcus!! Check it out!
468,@AOLSupportHelp Is all ok with email as I have been advised that someone received 'email address does not exist' when trying to email me,1,services,neutral,sadness,1,Is all ok with email as I have been advised that someone received 'email address does not exist' when trying to email me
469,"@AOLSupportHelp Hello aol, i found i couldn't Open My aol Mail since last night. Is aol website getting down ?  Please help thanks",1,services,Positive,sadness,1,i found i couldn't Open My aol Mail since last night. Is aol website getting down ? Please help thanks
470,"@AOLSupportHelp It started yesterday, but i try again it could work normal. But since last night Its just like this https://t.co/RKqVebsFBp",1,services,Positive,other,1,"It started yesterday, but i try again it could work normal. But since last night Its just like this"
471,@SquareUK Can someone please just tell me if this is a scam.,0,software,Negative,sadness,0,Can someone please just tell me if this is a scam.
472,@AOL where can I get support for the Verizon email switch?,0,services,Positive,other,0,where can I get support for the Verizon email switch?
473,@SquareUK Do you guys offer discounts for non-profits or charities? :),0,software,Positive,other,0,Do you guys offer discounts for non-profits or charities? :)
474,@AOLSupportHelp Please STOP the verification system on my acct.  If you cannot do so I will cancel my act.,1,services,Negative,anger,4,Please STOP the verification system on my acct. If you cannot do so I will cancel my act.
475,@AOL Not able to view mails on laptop for my aol.in account for the past few days. Though mobile works fine! Can you guys suggest solution?,1,services,Positive,sadness,1,Not able to view mails on laptop for my aol.in account for the past few days. Though mobile works fine! Can you guys suggest solution?
476,"@AOLSupportHelp it looks like I can drag it all into the IMAP side and it will come back.  Hopefully this will do, thanks!",0,services,Positive,joy,0,"it looks like I can drag it all into the IMAP side and it will come back. Hopefully this will do, thanks!"
477,@SqSupportUK web &amp; app software sync? Set default message for invoice on web but it doesn't sync to app. Always deleting default text in app,1,software,Neutral,sadness,1,web &amp; app software sync? Set default message for invoice on web but it doesn't sync to app. Always deleting default text in app
478,"@AOLSupportHelp Ready to cancel my AOL account.  These pop up  ads, with loud volume have forced me to turn my volume off.  Horrible.",1,services,Negative,anger,2,"These pop up ads, with loud volume have forced me to turn my volume off. Horrible."
479,"@SqSupportUK Ok, so when will the 1% transaction fee be in effect, as seen in a comparison article?!",1,software,Neutral,anger,2,"Ok, so when will the 1% transaction fee be in effect, as seen in a comparison article?"
480,@SquareUK When will Canada get this!?,1,software,Neutral,other,1,When will Canada get this?
481,@WhirlpoolCare I have already contacted this number. Several times. This needs to be escalated beyond your call cntr,1,other,neutral,anger,2,I have already contacted this number. Several times. This needs to be escalated beyond your call cntr
482,@awscloud you have requested more instances (1) than your current instance limit of 0 allows for the specified instance type... Every time,1,software,Neutral,anger,3,you have requested more instances (1) than your current instance limit of 0 allows for the specified instance type... Every time
483,Anyone having issues with their #Giulia @AlfaRomeoCareUK @AlfaRomeoUSA #Alfaromeo if you are I would be interested 2 know #caranddriver,0,cars,Positive,other,0,Anyone having issues with their #Giulia @AlfaRomeoCareUK @AlfaRomeoUSA #Alfaromeo if you are I would be interested 2 know #caranddriver
484,@AWSSupport My new password will not go through or even load on an Amazon account EverydayFamily . Can you please fix this issue.,1,software,Positive,sadness,1,My new password will not go through or even load on an Amazon account EverydayFamily . Can you please fix this issue.
485,"@awscloud Account closed, all my instances removed. Asking to sign up again. What kind of stupidity is going on :( Account No: 344642049333",1,software,Negative,anger,2,"Account closed, all my instances removed. Asking to sign up again. What kind of stupidity is going on"
486,@AWSSupport Sure. Case ID: 2230311591. Thanks :),0,software,Positive,other,0,Case ID: 2230311591.
487,@awscloud - 24 hours - nothing back on my support ticket: 2235411961 over a week without account activation? Little help?,1,software,Positive,sadness,3,24 hours - nothing back on my support ticket: 2235411961 over a week without account activation? Little help?
488,@awscloud No confirmation of my registration yet for big data roadshow in Mumbai which is on 20th June 2017.  cc #Pune,1,software,Negative,sadness,1,No confirmation of my registration yet for big data roadshow in Mumbai which is on 20th June 2017.
489,"@AWSSupport I want 2 store, access &amp; delete user session details in Elasticache using Lambda nodejs. Plz point to docs,links,study material.",0,software,Positive,other,0,"I want 2 store, access &amp; delete user session details in Elasticache using Lambda nodejs. Plz point to docs,links,study material."
490,Wow @AWSSupport is slow...,1,software,Positive,sadness,4,Wow @AWSSupport is slow.
491,"@awscloud Hi Everyone,  I had cleared my AWS associate Architect certification on 7th June, 2017. I did not receive certificate.",1,software,Positive,sadness,1,"Hi Everyone, I had cleared my AWS associate Architect certification on 7th June, 2017. I did not receive certificate."
492,@awscloud @AWSSupport ..I see that my account was switched to AISPL and all my websites are down!,1,software,Neutral,anger,2,.I see that my account was switched to AISPL and all my websites are down!
493,@whirlpoolusa I spent $1000 on a washer in 2014 and the washer is now broken and over $400 to fix a bearing problem.,1,other,Negative,sadness,2,I spent $1000 on a washer in 2014 and the washer is now broken and over $400 to fix a bearing problem.
494,@VijaySales @WhirlpoolCare rather than escalating to each other do something fruitful. Is not even 4 days the product was delivered to me,1,other,Neutral,anger,3,rather than escalating to each other do something fruitful.
495,@WhirlpoolCare I did DM you and I did send my information 3 times over 2 years. Your company NEVER REPLIED AND NEVER FOLLOWED UP,1,other,Neutral,anger,4,I did DM you and I did send my information 3 times over 2 years. Your company NEVER REPLIED AND NEVER FOLLOWED UP
496,@whirlpoolusa your products really stuck how come the manual doors not match the template wmh32529fz0,1,other,Negative,anger,4,your products really stuck how come the manual doors not match the template
497,"@WhirlpoolCorp @WhirlpoolCare very very BAD exp. from Whirlpool customer service executives, Sikha- the supervisor on floor, service centre",1,other,Negative,anger,4,very very BAD exp.
498,@WhirlpoolCare Thanks for the response. This isn't the complete model no? https://t.co/LTIoE2AtY6,0,other,Positive,other,0,Thanks for the response. 
499,"Final straw with @WhirlpoolCorp. KitchenAid dishwasher tub is rusting after 4 MONTHS. Called at 1PM PDT, NEVER GOT A CALL BACK. Now closed.",1,other,Neutral,anger,3,KitchenAid dishwasher tub is rusting after 4 MONTHS.
500,@WhirlpoolCorp @whirlpoolusa Brand new dishwasher doesn't work. Runaround from @Lowes Tried calling @WhirlpoolCorp On hold 4 20 min. Help!!,1,other,negative,anger,2,new dishwasher doesn't work.
501,@WhirlpoolCorp @WhirlpoolCare loyal customer for 20 years. Not loyal anymore. Really Disappointed n disheartened!!,1,other,Negative,anger,2,loyal customer for 20 years. Not loyal anymore. Really Disappointed n disheartened!
502,@LenovoSupport Waiting for over 2 hours now for chat agent for depot repair update. Almost 2 hours on hold for phone,1,electronics,Neutral,anger,2,Waiting for over 2 hours now for chat agent for depot repair update.
503,@LenovoSupport talked for hour couple of times with higher team and sent mail to dkumar11. item should have been dispatched on the same day,1,electronics,Neutral,sadness,2,item should have been dispatched on the same day
504,@LenovoSupport Edge2-1580 Model 80QF. Just did Windows update now the wireless won't work. Any idea or suggestion?,1,electronics,Neutral,sadness,1,Just did Windows update now the wireless won't work. Any idea or suggestion?
505,@LenovoSupport The updated driver worked,0,electronics,Neutral,joy,0,The updated driver worked
506,When you did a complete Windows reset on your @LenovoSupport laptop and it still bluescreens with Unexpected_Store_Exception...,1,electronics,Neutral,anger,2,When you did a complete Windows reset on your @LenovoSupport laptop and it still bluescreens with Unexpected_Store_Exception...
507,@LenovoSupport I just the reset options in the (Windows) Settings app. Shall I still call the number?,0,electronics,Positive,other,0,I just the reset options in the (Windows) Settings app. Shall I still call the number?
508,@MACcosmetics And how do I do that? Can you send me an email address pls?,0,other,Positive,other,0,no cause
509,@MACcosmetics when is the bold &amp; bad mascara coming out in the UK &amp; Ireland?,0,other,Negative,other,0,no cause
510,"@MACcosmetics sent you an email Monday, when should i expect a response?",1,other,Neutral,sadness,1,"sent you an email Monday, when should i expect a response?"
511,@MACcosmetics hi I'm nc15 In the studio fix fluid foundation will I be the same shade in the pro long wear foundation?,0,other,Neutral,other,0,no cause
512,"@MACcosmetics really disappointing service in your Birmingham New Street store yesterday, customers should be the focus for your employees",1,other,Negative,anger,2,"really disappointing service in your Birmingham New Street store yesterday, customers should be the focus for your employees"
513,@MACcosmetics looking for a new lipstick. Something in betweeb brave and velvet teddy. Any ideas?,0,other,Positive,other,0,looking for a new lipstick. 
514,@Moto_Support Hope your reply comes faster unlike my mobile(mail sent) @LenovoSupport @MotorolaSupport #Modaymotivation #still_saynotomoto,1,electronics,Positive,other,3,Hope your reply comes faster unlike my mobile(mail sent)
515,I have no idea where my @MACcosmetics order is and their customer service is frustrating to say the least https://t.co/imYAMHn0BG,1,other,Negative,anger,2,I have no idea where my @MACcosmetics order is and their customer service is frustrating to say the least
516,@MACcosmetics how long does ur standard shipping take?,0,other,Neutral,other,0,no cause
517,@MACcosmetics when is the dua lipa lipglass gonna be available in the uk ?,0,other,Neutral,other,0,no cause
518,"@GeorgiaPower No, he said the one that was put in the day before was bad and put a new one in at 1 AM when my power was restored",0,services,Negative,other,0,"No, he said the one that was put in the day before was bad and put a new one in at 1 AM when my power was restored"
519,"@MACcosmetics hi,  I emailed you on the 28th June and was told I would hear back and I still haven't heard anything.",1,other,Neutral,sadness,1,I emailed you on the 28th June and was told I would hear back and I still haven't heard anything.
520,@GeorgiaPower any update on Arnoldsville/Lexington outage?,1,services,Neutral,sadness,1,any update on Arnoldsville/Lexington outage?
521,@EricYesner @WSAV @GeorgiaPower None at rivers end campground...,0,services,Neutral,sadness,0,None at rivers end campground.
522,"@AWSSupport hi folks,SES question: i have a domain in pending for a long time ago (weeks), i removed and added again but nothing happen.THKS",1,software,Neutral,sadness,1,"i have a domain in pending for a long time ago (weeks), i removed and added again but nothing happen."
523,@LenovoSupport What is the part number for a Swiss German keyboard for X1 20BT please? I'd like to source one :),0,electronics,Positive,other,0,What is the part number for a Swiss German keyboard for X1 20BT please?
524,"@GeorgiaPower Back on right on time. Bad timing for a wedding reception, but great service for out in the boonies!",0,services,Positive,joy,0,"Back on right on time. Bad timing for a wedding reception, but great service for out in the boonies!"
525,"@awscloud AWS Guys, you may need to look at the issue on S3 versioning where permission &amp; versioning keep growing:) https://t.co/fyf2EuTZ8C",1,software,Positive,other,1,you may need to look at the issue on S3 versioning where permission &amp; versioning keep growing:)
526,@LenovoSupport @Yuanqing_Lenovo I'll spread this word to everyone in my family and friends to not to buy your products. #worstaftersales,1,electronics,negative,anger,2,I'll spread this word to everyone in my family and friends to not to buy your products. #worstaftersales
527,"Clear skies both days. I dont care if its an outtage of 20 mins or hours, there's not an excuse for it to go out this much @GeorgiaPower",1,services,Negative,anger,2,"I dont care if its an outtage of 20 mins or hours, there's not an excuse for it to go out this much"
528,@AlfaRomeoUSA piece of italian crap,1,cars,Negative,anger,2,piece of italian crap
529,@awscloud @AWSSupport contacting on behalf of a client; their site has been down for 24+ hours but no response from AWS support!,1,software,Positive,anger,4,contacting on behalf of a client; their site has been down for 24+ hours but no response from AWS support!
530,@GeorgiaPower How long is the outage in Stockbridge,1,services,Neutral,sadness,2,How long is the outage in Stockbridge
531,"@LenovoSupport Hi, is there any reason Nougat isn't being released in the UK for your excellent P2 phone?",1,electronics,Positive,sadness,2,"Hi, is there any reason Nougat isn't being released in the UK for your excellent P2 phone?"
532,"@AWSSupport No, I'm still in an endless loop. It's requiring me to enter AWS Nickname and Email Address. Things I already have.",1,software,Neutral,sadness,2,It's requiring me to enter AWS Nickname and Email Address. Things I already have.
533,"@LenovoSupport my lenovo flex 4 has stopped working. It does not turn on, i have tried pressing the novo button i still wont turn.",1,electronics,Negative,sadness,1,"my lenovo flex 4 has stopped working. It does not turn on, i have tried pressing the novo button i still wont turn."
534,@awscloud i cant login to my ec2 account :/,1,software,Negative,sadness,2,i cant login to my ec2 account :/
535,Is there anyone that can answer a question for me @GeorgiaPower,1,services,Neutral,sadness,2,Is there anyone that can answer a question for me
536,"So is a 220,000 ms read latency on Redshift normal or should we be worried? @awscloud https://t.co/d2IoMjTRyJ",0,software,Negative,sadness,0,"So is a 220,000 ms read latency on Redshift normal or should we be worried?"
537,"@awscloud how do i get everyday new news of aws , how do i check what is new service or new feature aws launched ?",0,software,Positive,other,0,"how do i get everyday new news of aws , how do i check what is new service or new feature aws launched ?"
538,I just gave 5 stars to Gloria at @neimanmarcus for the great service I received!,0,apparel,Positive,joy,0,I just gave 5 stars to Gloria at @neimanmarcus for the great service I received!
539,Is there anyone that can answer a question for me @HondaCustSvc @AmericanHonda,1,cars,Negative,anger,4,Is there anyone that can answer a question for me
540,"@AWSSupport I found bug in S3, i can upload file to others bucket, but i can't report that to electronics support because my plan is basic,..",1,software,Positive,sadness,1,"I found bug in S3, i can upload file to others bucket, but i can't report that to electronics support because my plan is basic,"
541,Hey @awscloud. We are throwing a AWS themed birthday party for a friend who is very passionate about your product. Where can we get AWS swag,0,software,Positive,other,0,We are throwing a AWS themed birthday party for a friend who is very passionate about your product. Where can we get AWS swag
542,@HondaCustSvc I think you should send me a replacement key!,1,cars,Neutral,anger,1,I think you should send me a replacement key !
543,@neimanmarcus would you please change my size to a medium in my order? DM me please.,0,apparel,Positive,other,0,would you please change my size to a medium in my order? DM me please.
544,@HondaCustSvc someone has gotten it touch with me.,0,cars,Neutral,other,0,someone has gotten it touch with me
545,@HondaCustSvc I heard about recall on Honda Accord 2013-2016 . What are the steps to fix this problem? I have 2015 models sports.,1,cars,Negative,sadness,1,What are the steps to fix this problem?
546,@HondaCustSvc most crvs have air conditioning issues. Isn't it prudent to recall? Losing trust in #hondacrv,1,cars,negative,anger,4,most crvs have air conditioning issues. Isn't it prudent to recall? Losing trust in #hondacrv
547,@HondaCustSvc how do I file a formal complaint against a service location?,0,cars,Negative,other,0,how do I file a formal complaint against a service location?
548,Is this legit? Seats sliding on white rails doesn't seem safe. 2014 Honda Odyssey @Honda @HondaCustSvc https://t.co/pPEQVg7LzR,1,cars,Negative,anger,3,Is this legit? Seats sliding on white rails doesn't seem safe.
549,Why @awscloud api is spitting weird ^M characters to my log files? Haven't seen those for ages.,1,software,Negative,sadness,3,api is spitting weird ^M characters to my log files? Haven't seen those for ages.
550,@AOLSupportHelp I've checked that page and none of the have the correct solution. I need your help ASAP! It's getting on my nerves!,1,services,Positive,anger,2,I've checked that page and none of the have the correct solution. I need your help ASAP! 
551,"@Superdry_Care Unfortunately I don't...I have the invoice and order information though, not sure if that's any help?",0,apparel,Negative,sadness,0,"Unfortunately I don't...I have the invoice and order information though, not sure if that's any help?"
552,"@AOLSupportHelp They do not reply, just automated email",1,services,Neutral,sadness,3,"They do not reply, just automated email"
553,@AOLSupportHelp my name change to numbers when i enter to play,1,services,Positive,sadness,1,my name change to numbers when i enter to play
554,"@Superdry_Care This one, in any colour but black in a medium! https://t.co/ds0oiN3mFE",0,apparel,Neutral,other,0,"This one, in any colour but black in a medium!"
555,"@GeorgiaPower Forsyrh County, Buford Dam Road, just west of the intersection with Heatherstone Drive.",0,services,Neutral,other,0,"Forsyrh County, Buford Dam Road, just west of the intersection with Heatherstone Drive."
556,@GeorgiaPower why bother confirming you can be at my home at a specific time to meet the electrician &amp; still not be here 2 hrs later? #fail,1,services,Negative,anger,3,why bother confirming you can be at my home at a specific time to meet the electrician &amp; still not be here 2 hrs later? #fail
557,"Hey @HondaCustSvc, how long should a transmission last on a Honda Civic Hybrid? Mine needs to be replaced after 5 yrs. Not a happy customer!",1,cars,Negative,anger,3,how long should a transmission last on a Honda Civic Hybrid? Mine needs to be replaced after 5 yrs. Not a happy customer!
558,My AOL account has been hacked. I did not send out anything in a Dropbox file. Sorry for the inconvenience.,0,services,Negative,sadness,0,My AOL account has been hacked. I did not send out anything in a Dropbox file. Sorry for the inconvenience.
559,"@HondaCustSvc Will the new 2018 Honda will be available in a combo with 6 spd manual, sunroof and leather seats? Current accord is not.",0,cars,Neutral,other,0,"Will the new 2018 Honda will be available in a combo with 6 spd manual, sunroof and leather seats?"
560,@HondaCustSvc Your tv commercial with 2 kids and 2 monsters fighting in odyssey is so annoying. Loud! Please replace with an appealing ad.,1,cars,Negative,anger,2,Your tv commercial with 2 kids and 2 monsters fighting in odyssey is so annoying. Loud! Please replace with an appealing ad.
561,"@AOLSupportHelp hello, my name is jaspreet. i have deactivated phone ,lost disable code.cant get it now. my email id is = belair7aig@aol.com",0,services,Negative,sadness,0,"hello, my name is jaspreet. i have deactivated phone ,lost disable code.cant get it now. my email id is = belair7aig@aol.com"
562,@neimanmarcus thx for sending me a ripped dress &amp; doing nothing to replace it #needlessmarkup #shouldagonetonordstrom,1,apparel,Positive,other,3,thx for sending me a ripped dress &amp; doing nothing to replace it #needlessmarkup #shouldagonetonordstrom
563,"@AOLSupportHelp If I add a contact in the web contacts, will that get sync'd to the desktop contacts? And which platform takes precedence?",0,services,Neutral,other,0,"If I add a contact in the web contacts, will that get sync'd to the desktop contacts? And which platform takes precedence?"
564,@AOLSupportHelp I'm using AOL Gold. I cannot indent a line of type in my email (I used to be able to do that). Why?,1,services,Neutral,other,1,I cannot indent a line of type in my email (I used to be able to do that). Why?
565,Super stoked I spent money to get @beatsbydre just to have the battery go dead within 4 months of use.,1,electronics,Negative,other,3,Super stoked I spent money to get @beatsbydre just to have the battery go dead within 4 months of use.
566,@Superdry_Care No from Ireland.,0,apparel,Negative,other,0,No from Ireland.
567,@Superdry_Care what's your sale returns policy? Was bought item at Oxford store want to swap or get vouchers for it instead,0,apparel,Positive,other,0,what's your sale returns policy? Was bought item at Oxford store want to swap or get vouchers for it instead
568,If I can't get my 3rd pair of @beatsbydre powerbeats to work today I'm doneski man. This is a slap in my balls. Your next @Bose @BoseService,1,electronics,neutral,sadness,2,If I can't get my 3rd pair of @beatsbydre powerbeats to work today I'm doneski man.
569,@LenovoSupport will X1 Carbon 2nd Gen get support for Win 10 1703 or are we stuck on 1607 until end of life? Support page last updated March,1,electronics,neutral,sadness,2,will X1 Carbon 2nd Gen get support for Win 10 1703 or are we stuck on 1607 until end of life? Support page last updated March
570,"@GeorgiaPower whole neighborhood lost power,called and they said it would be back at 1:30. 1:20 I'm back. You rock GP. #greatservicecalls",0,services,Negative,joy,0,"whole neighborhood lost power,called and they said it would be back at 1:30."
571,@beatsbydre just saw this this morning. Was not like this when I took them off last night. Suggestions? https://t.co/ixKkqmYwB0,1,electronics,Negative,sadness,1,Was not like this when I took them off last night. Suggestions?
572,"@Superdry_Care Yesterday, 20th July.",0,apparel,Neutral,other,0,"Yesterday, 20th July."
573,"@AOLSupportHelp My AOL (formerly Verizon) account ""unable to authorize"" but my wife's works fine?",1,services,Positive,other,1,"My AOL (formerly Verizon) account ""unable to authorize"" but my wife's works fine?"
574,@Superdry Bought these less than 4 weeks ago and they are falling apart! #nothappy https://t.co/vuxUOTgAtG,1,apparel,Negative,anger,2,Bought these less than 4 weeks ago and they are falling apart! #nothappy
575,@AOLSupportHelp hi and help! All of my emails have disappeared from desktop and remote devices duffydld is the screen name,1,services,Positive,sadness,1,hi and help! All of my emails have disappeared from desktop and remote devices duffydld is the screen name
576,How can I get them @Fendi @beatsbydre ?!,0,electronics,Neutral,other,0,How can I get them
577,"Just noticed when I brush my @Superdry top with my hand, loads of the design falls off like dust. Is this #micro #plastic #pollution?",1,apparel,negative,sadness,1,"Just noticed when I brush my @Superdry top with my hand, loads of the design falls off like dust. Is this #micro #plastic #pollution?"
578,my beats broke after 1 month @beatsbydre @Apple https://t.co/bsSlkUJyAU #longdistancerelationship #Powerbeats3Wireless,1,electronics,Negative,sadness,2,my beats broke after 1 month
579,I just gave 5 stars to Daisy at @neimanmarcus for the great service I received!,0,apparel,Positive,joy,0,I just gave 5 stars to Daisy at @neimanmarcus for the great service I received!
580,Can't believe how bad @beatsbydre powerbeats3 are. 20 minute train journey and not got through one song because I keep reseting @Apple #shit,1,electronics,Negative,anger,4,Can't believe how bad @beatsbydre powerbeats3 are. #shit
581,Hey @AOL @AOLSupportHelp locked out of my acct. Been on hold for 30 mins to recover/reset passwrd. Help needed now!,1,services,Positive,anger,1,locked out of my acct. Been on hold for 30 mins to recover/reset passwrd. Help needed now!
582,@Superdry_Care Thank you for resolving my issue promptly #goodcustomerservice,0,apparel,Positive,joy,0,Thank you for resolving my issue promptly #goodcustomerservice
583,Oh no @Superdry my fav jeans have a design defect and are now broken. What shall I do..? https://t.co/tIjZL8OZzN,1,apparel,Negative,sadness,1,my fav jeans have a design defect and are now broken. What shall I do..?
584,"@BeatsSupport Correct, not powering on at all. Even when connected to the charger the light stays off",1,electronics,Neutral,sadness,1,"Correct, not powering on at all. Even when connected to the charger the light stays off"
585,Yo @beatsbydre your headphones went out on me after 2 weeks of usage.. what's up with that?,1,electronics,Neutral,sadness,2,your headphones went out on me after 2 weeks of usage.. what's up with that?
